uid,formula,charge,n_c,frequency_cm,scale,frequency_unscaled_cm,intensity_km_mol,symmetry,family
617,C384H48,0,384,460.4175,0.9563,481.45717870960993,0.0,E2U,low / skeletal
617,C384H48,0,384,460.4175,0.9563,481.45717870960993,0.0,E2U,low / skeletal
617,C384H48,0,384,461.176,0.9563,482.250339851511,0.1198,A2U,low / skeletal
617,C384H48,0,384,462.0331,0.9563,483.1466067133744,0.0,B1G,low / skeletal
617,C384H48,0,384,462.5717,0.9563,483.7098190944265,0.0,E1G,low / skeletal
617,C384H48,0,384,462.5717,0.9563,483.7098190944265,0.0,E1G,low / skeletal
617,C384H48,0,384,466.9178,0.9563,488.2545226393391,0.0,E2G,low / skeletal
617,C384H48,0,384,466.9178,0.9563,488.2545226393391,0.0,E2G,low / skeletal
617,C384H48,0,384,467.3598,0.9563,488.7167206943428,0.0,B2G,low / skeletal
617,C384H48,0,384,467.9811,0.9563,489.3664122137405,0.0,A1U,low / skeletal
617,C384H48,0,384,469.7521,0.9563,491.2183415246261,0.0,B2U,low / skeletal
617,C384H48,0,384,471.5193,0.9563,493.0662971870752,4.4195,E1U,low / skeletal
617,C384H48,0,384,471.5193,0.9563,493.0662971870752,4.42,E1U,low / skeletal
617,C384H48,0,384,473.3579,0.9563,494.98891561225554,0.0,B1U,low / skeletal
617,C384H48,0,384,476.1388,0.9563,497.89689428003766,0.0,E2U,low / skeletal
617,C384H48,0,384,476.1388,0.9563,497.89689428003766,0.0,E2U,low / skeletal
617,C384H48,0,384,480.1469,0.9563,502.08815225347695,0.0,B1U,low / skeletal
617,C384H48,0,384,481.6446,0.9563,503.6542925860086,0.9967,E1U,low / skeletal
617,C384H48,0,384,481.6446,0.9563,503.6542925860086,0.9967,E1U,low / skeletal
617,C384H48,0,384,483.8051,0.9563,505.9135208616543,0.0,B2G,low / skeletal
617,C384H48,0,384,484.5666,0.9563,506.7098190944264,0.0,E1G,low / skeletal
617,C384H48,0,384,484.5666,0.9563,506.7098190944264,0.0,E1G,low / skeletal
617,C384H48,0,384,487.6824,0.9563,509.9680016731151,0.0,A1G,low / skeletal
617,C384H48,0,384,494.262,0.9563,516.8482693715362,0.0,E2U,low / skeletal
617,C384H48,0,384,494.262,0.9563,516.8482693715362,0.0,E2U,low / skeletal
617,C384H48,0,384,495.2041,0.9563,517.8334204747464,0.0,A2G,low / skeletal
617,C384H48,0,384,495.7237,0.9563,518.3767646136149,0.0,E2G,low / skeletal
617,C384H48,0,384,495.7237,0.9563,518.3767646136149,0.0,E2G,low / skeletal
617,C384H48,0,384,502.8366,0.9563,525.8147024992156,0.0,B2U,low / skeletal
617,C384H48,0,384,507.0729,0.9563,530.2445885182474,0.0,E2G,low / skeletal
617,C384H48,0,384,507.0729,0.9563,530.2445885182474,0.0,E2G,low / skeletal
617,C384H48,0,384,511.9299,0.9563,535.3235386385026,17.8103,E1U,low / skeletal
617,C384H48,0,384,511.9299,0.9563,535.3235386385026,17.81,E1U,low / skeletal
617,C384H48,0,384,512.5444,0.9563,535.9661194185925,0.0,A1G,low / skeletal
617,C384H48,0,384,518.5116,0.9563,542.2060023005333,0.0,E2G,low / skeletal
617,C384H48,0,384,518.5116,0.9563,542.2060023005333,0.0,E2G,low / skeletal
617,C384H48,0,384,518.7053,0.9563,542.4085538011084,0.0,E1G,low / skeletal
617,C384H48,0,384,518.7053,0.9563,542.4085538011084,0.0,E1G,low / skeletal
617,C384H48,0,384,519.509,0.9563,543.2489804454669,0.0,A1U,low / skeletal
617,C384H48,0,384,520.6026,0.9563,544.3925546376661,0.0,E2G,low / skeletal
617,C384H48,0,384,520.6026,0.9563,544.3925546376661,0.0,E2G,low / skeletal
617,C384H48,0,384,525.0735,0.9563,549.0677611628149,5.7212,E1U,low / skeletal
617,C384H48,0,384,525.0735,0.9563,549.0677611628149,5.721,E1U,low / skeletal
617,C384H48,0,384,527.6604,0.9563,551.7728746209348,0.0,A2G,low / skeletal
617,C384H48,0,384,530.1223,0.9563,554.347275959427,0.0,E2G,low / skeletal
617,C384H48,0,384,530.1223,0.9563,554.347275959427,0.0,E2G,low / skeletal
617,C384H48,0,384,534.7826,0.9563,559.2205374882359,0.0,A2G,low / skeletal
617,C384H48,0,384,540.4734,0.9563,565.1713897312558,0.0,B2U,low / skeletal
617,C384H48,0,384,541.189,0.9563,565.9196904737007,6.97,E1U,low / skeletal
617,C384H48,0,384,541.189,0.9563,565.9196904737007,6.9698,E1U,low / skeletal
617,C384H48,0,384,542.5872,0.9563,567.3817839590087,0.0,E2U,low / skeletal
617,C384H48,0,384,542.5872,0.9563,567.3817839590087,0.0,E2U,low / skeletal
617,C384H48,0,384,544.7235,0.9563,569.6157063682944,0.0,B1U,low / skeletal
617,C384H48,0,384,547.1671,0.9563,572.170971452473,0.0,B2G,low / skeletal
617,C384H48,0,384,550.8956,0.9563,576.069852556729,0.0,A1G,low / skeletal
617,C384H48,0,384,552.418,0.9563,577.6618216040991,0.0,B2U,low / skeletal
617,C384H48,0,384,556.6139,0.9563,582.0494614660671,1.2895,E1U,low / skeletal
617,C384H48,0,384,556.6139,0.9563,582.0494614660671,1.2896,E1U,low / skeletal
617,C384H48,0,384,559.5835,0.9563,585.1547631496392,0.0,E1G,low / skeletal
617,C384H48,0,384,559.5835,0.9563,585.1547631496392,0.0,E1G,low / skeletal
617,C384H48,0,384,562.2453,0.9563,587.93819930984,0.0,B1U,low / skeletal
617,C384H48,0,384,563.3329,0.9563,589.0754993202969,1.0779,E1U,low / skeletal
617,C384H48,0,384,563.3329,0.9563,589.0754993202969,1.0782,E1U,low / skeletal
617,C384H48,0,384,563.6438,0.9563,589.4006065042352,0.0,B1G,low / skeletal
617,C384H48,0,384,564.3855,0.9563,590.1761999372582,0.0,B2U,low / skeletal
617,C384H48,0,384,564.7014,0.9563,590.5065356059814,0.0,A1U,low / skeletal
617,C384H48,0,384,564.895,0.9563,590.7089825368607,0.0179,A2U,low / skeletal
