scale,n_bands,frequency_unscaled_cm
0.9097,2488,1936.8937012201825
0.9097,2488,1980.3801253160384
0.9097,2488,1994.1423546224032
0.9097,2488,1870.504891722546
0.9097,2488,2008.5938221391668
0.9097,2488,1908.4760910190173
0.9097,2488,2125.5475431460923
0.9097,2488,1898.2083104320104
0.9097,2488,1928.9795536990216
0.9097,2488,1995.9263493459384
0.9097,2488,1887.7639881279545
0.9097,2488,1946.591293833132
0.9097,2488,2025.009453666044
0.9097,2488,1844.9416291084972
0.9097,2488,2076.370451797296
0.9097,2488,2058.977794877432
0.9097,2488,2089.800373749588
0.9097,2488,2038.3733098823789
0.9097,2488,1946.4604814774104
0.9097,2488,1970.7010003297792
0.9097,2488,1835.6934154116743
0.9097,2488,2000.082005056612
0.9097,2488,1903.2231504891724
0.9097,2488,2025.3810047268328
0.9097,2488,1815.6440584808176
0.9097,2488,1810.519182147961
0.9097,2488,2011.282730570518
0.9097,2488,2012.9543805650217
0.9097,2488,1987.030119819721
0.9097,2488,1843.1086072331536
0.9097,2488,2044.0596900076948
0.9097,2488,2017.899527316698
0.9097,2488,2034.5666703308784
0.9097,2488,2119.640650763988
0.9097,2488,2091.9972518412665
0.9097,2488,2001.851269649335
0.9097,2488,2010.454765307244
0.9097,2488,2081.975266571397
0.9097,2488,2056.7833351654394
0.9097,2488,1928.0530944267343
0.9097,2488,2083.8053204353087
0.9097,2488,2114.1026712102894
0.9097,2488,2042.9845003847424
0.9097,2488,1914.2194129932943
0.9097,2488,1950.448059799934
0.9097,2488,2074.729251401561
0.9097,2488,1858.892601956689
0.9097,2488,2017.3320875013744
0.9097,2488,1943.2951522479937
0.9097,2488,2056.602726173464
0.9097,2488,2094.837089150269
0.9097,2488,2065.225568868858
0.9097,2488,1894.0118720457292
0.9097,2488,1934.2426074530067
0.9097,2488,2039.2258986479064
0.9097,2488,2091.4875233593493
0.9097,2488,1924.5000549631748
0.9097,2488,1903.5368802902055
0.9097,2488,1846.184236561504
0.9097,2488,2018.5021435638123
0.9097,2488,2037.1079476750576
0.9097,2488,2002.574145322634
0.9097,2488,2019.9543805650212
0.9097,2488,2016.030999230516
0.9097,2488,1941.8173024073872
0.9097,2488,2024.302957018797
0.9097,2488,2005.2788831482908
0.9097,2488,2068.9476750577114
0.9097,2488,2102.436847312301
0.9097,2488,2074.1755523799056
0.9097,2488,2042.1558755633723
0.9097,2488,2080.39331647796
0.9097,2488,2079.1326811036606
0.9097,2488,2069.591953391228
0.9097,2488,2025.9076618665492
0.9097,2488,1959.6082224909312
0.9097,2488,1980.7376058041116
0.9097,2488,1969.8488512696492
0.9097,2488,2023.5313839727385
0.9097,2488,1913.0957458502803
0.9097,2488,1877.6581290535344
0.9097,2488,1985.92942728372
0.9097,2488,1986.044410245136
0.9097,2488,1913.997361767616
0.9097,2488,2065.7200175882163
0.9097,2488,2023.2166648345608
0.9097,2488,1952.5409475651315
0.9097,2488,1966.305045619435
0.9097,2488,2051.934813674838
0.9097,2488,2015.0183577003409
0.9097,2488,1891.027591513686
0.9097,2488,1870.085192920743
0.9097,2488,2081.4510278113667
0.9097,2488,2002.436737385952
0.9097,2488,2070.40672749258
0.9097,2488,2000.774650983841
0.9097,2488,2010.5959107398044
0.9097,2488,2082.977684951083
0.9097,2488,1941.739364625701
0.9097,2488,2012.56645047818
0.9097,2488,2058.670111025613
0.9097,2488,1971.8857865230293
0.9097,2488,1978.8548972188637
0.9097,2488,1925.1440035176436
0.9097,2488,2048.782016049247
0.9097,2488,1920.04045289656
0.9097,2488,1982.0879410794769
0.9097,2488,1807.5856875893155
0.9097,2488,1957.88402770144
0.9097,2488,1932.2483236231728
0.9097,2488,2036.2128174123336
0.9097,2488,2005.9839507529955
0.9097,2488,1946.555347916896
0.9097,2488,2056.132571177311
0.9097,2488,1969.6540617786084
0.9097,2488,1904.030999230516
0.9097,2488,2007.1255358909527
0.9097,2488,2064.9283280202267
0.9097,2488,1907.3904583928768
0.9097,2488,1983.995822798725
0.9097,2488,2063.165439155766
0.9097,2488,2011.7720127514565
0.9097,2488,2024.1679674618008
0.9097,2488,2114.726503242827
0.9097,2488,1881.202374409146
0.9097,2488,2022.1364185995385
0.9097,2488,2064.0559525118174
0.9097,2488,1923.651423546224
0.9097,2488,1980.2540397933387
0.9097,2488,1897.1514785093989
0.9097,2488,1866.399692206222
0.9097,2488,1891.402220512257
0.9097,2488,1917.719687809168
0.9097,2488,1889.2291964383865
0.9097,2488,1854.751126745081
0.9097,2488,2002.753325272068
0.9097,2488,1903.634165109377
0.9097,2488,2092.1068484115644
0.9097,2488,1819.2972408486316
0.9097,2488,1929.9041442233704
0.9097,2488,2073.506870396834
0.9097,2488,1877.101901725844
0.9097,2488,1820.64537759701
0.9097,2488,2013.6738485214903
0.9097,2488,2050.2835000549635
0.9097,2488,2060.4887325491923
0.9097,2488,1920.0935473232933
0.9097,2488,2135.6839617456303
0.9097,2488,2104.1181708255467
0.9097,2488,2016.925469935144
0.9097,2488,1866.5209409695503
0.9097,2488,2030.721886336155
0.9097,2488,1986.0293503352757
0.9097,2488,2080.228317027592
0.9097,2488,2045.730460591404
0.9097,2488,1963.3557216664835
0.9097,2488,2028.4413542926245
0.9097,2488,1858.251291634605
0.9097,2488,2111.29075519402
0.9097,2488,2079.3775970100032
0.9097,2488,1972.6587886116304
0.9097,2488,1894.1644498186213
0.9097,2488,2092.123447290316
0.9097,2488,1979.3071342200728
0.9097,2488,1945.9123886995717
0.9097,2488,1962.0070352863584
0.9097,2488,2079.6754974167307
0.9097,2488,2327.829394305815
0.9097,2488,1883.47905903045
0.9097,2488,1860.380674947785
0.9097,2488,2058.15631526877
0.9097,2488,2018.872815213807
0.9097,2488,2055.6509838408265
0.9097,2488,2019.822359019457
0.9097,2488,2108.112454655381
0.9097,2488,1898.53116412004
0.9097,2488,2078.643069143674
0.9097,2488,1997.3668242277677
0.9097,2488,1914.6439485544688
0.9097,2488,2007.7564032098492
